metric,value
meters of bicycle infrastructure per square km,5840.74
nodes in the bicycle network per square km,27.06
dangling nodes in the bicycle network per square km,10.0
meters of protected bicycle infrastructure per square km,5292.38
meters of unprotected bicycle infrastructure per square km,496.31
meters of mixed protection bicycle infrastructure per square km,52.05
