metric,value
meters of bicycle infrastructure per square km,5852.31
nodes in the bicycle network per square km,27.15
dangling nodes in the bicycle network per square km,10.0
meters of protected bicycle infrastructure per square km,5296.4
meters of unprotected bicycle infrastructure per square km,503.07
meters of mixed protection bicycle infrastructure per square km,52.84
