edge_id,length (m)
831,2.8919836075991983
842,2.9664451334791124
1355,1.6543507685043781
3514,1.3584547854505555
3638,1.9879137535814349
3744,1.0147733446284506
4102,2.9903612354162323
4352,0.8803985250268078
5647,0.9205579142248053
